id,Year,Total_Win,Total_Game,Home_Game,AFGP,ATPP,AFTP,ARBP,APTS,ATOV,FGP,TPP,FTP,party
2000-Lakers,2000,4,6,3,41,6,17,41,105,35,0.48,0.42,0.57,Champion
2001-Lakers,2001,4,5,2,36,7,21,45,101,32,0.47,0.53,0.68,Champion
2002-Lakers,2002,4,4,2,36,7,26,44,106,32,0.51,0.56,0.73,Champion
2003-Spurs,2003,4,6,3,32,4,20,46,88,28,0.43,0.35,0.7,Champion
2004-Pistons,2004,4,5,3,31,4,24,46,91,28,0.43,0.35,0.7,Champion
2005-Spurs,2005,4,7,4,31,7,16,42,85,28,0.43,0.43,0.7,Champion
2006-Heat,2006,4,6,3,33,5,21,44,93,30,0.46,0.36,0.6,Champion
2007-Spurs,2007,4,4,2,32,7,15,44,86,27,0.44,0.43,0.66,Champion
2008-Celtics,2008,4,6,3,34,9,25,42,102,31,0.44,0.48,0.78,Champion
2009-Lakers,2009,4,5,2,38,6,18,41,101,31,0.46,0.4,0.76,Champion
2010-Lakers,2010,4,7,4,32,5,22,42,91,28,0.42,0.29,0.77,Champion
2011-Mavericks,2011,4,6,3,33,8,20,38,95,31,0.45,0.46,0.78,Champion
2012-Heat,2012,4,6,4,35,8,21,41,100,31,0.46,0.45,0.81,Champion
2013-Heat,2013,4,6,3,38,9,13,39,98,32,0.46,0.49,0.78,Champion
2014-Spurs,2014,4,5,3,38,11,18,38,106,35,0.53,0.52,0.75,Champion
2015-Warriors,2015,4,6,3,36,11,17,44,101,32,0.44,0.4,0.69,Champion
2016-Cavaliers,2016,4,7,3,38,8,17,44,100,35,0.46,0.36,0.72,Champion
2017-Warriors,2017,4,5,3,43,14,21,46,122,35,0.47,0.43,0.82,Champion
2018-Warriors,2018,4,4,2,44,13,16,40,116,34,0.51,0.45,0.86,Champion
2000-Pacers,2000,2,6,3,36,8,26,41,107,33,0.46,0.46,0.85,Runner
2001-Sixers,2001,1,5,3,35,3,20,43,94,31,0.42,0.33,0.72,Runner
2002-Nets,2002,0,4,2,39,4,15,39,97,32,0.44,0.38,0.67,Runner
2003-Nets,2003,2,6,3,30,4,18,42,82,26,0.37,0.31,0.78,Runner
2004-Lakers,2004,1,5,2,32,4,14,38,82,29,0.42,0.28,0.64,Runner
2005-Pistons,2005,3,7,3,35,3,13,41,87,33,0.43,0.26,0.74,Runner
2006-Mavericks,2006,2,6,3,33,6,20,42,92,30,0.42,0.32,0.79,Runner
2007-Cavaliers,2007,0,4,2,31,6,13,41,80,26,0.39,0.34,0.69,Runner
2008-Lakers,2008,2,6,3,33,7,21,37,94,29,0.44,0.38,0.73,Runner
2009-Magic,2009,1,5,3,32,8,19,38,91,29,0.43,0.38,0.69,Runner
2010-Celtics,2010,3,7,3,33,5,16,38,87,31,0.43,0.34,0.77,Runner
2011-Heat,2011,2,6,3,34,8,18,38,92,30,0.45,0.38,0.71,Runner
2012-Thunder,2012,1,5,2,37,6,18,38,98,31,0.46,0.34,0.77,Runner
2013-Spurs,2013,3,7,3,36,9,17,42,98,31,0.45,0.46,0.77,Runner
2014-Heat,2014,1,5,2,34,9,15,32,92,29,0.47,0.46,0.74,Runner
2015-Cavaliers,2015,2,6,3,33,8,20,48,94,28,0.38,0.34,0.7,Runner
2016-Warriors,2016,3,7,4,36,13,15,40,100,31,0.43,0.4,0.74,Runner
2017-Cavaliers,2017,1,5,2,42,13,18,44,115,40,0.46,0.43,0.75,Runner
2018-Cavaliers,2018,0,4,2,38,9,16,46,101,30,0.41,0.38,0.73,Runner
