Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000,Pacers,1,0,0,240,32,76,0.421,5,14,0.357,18,23,0.783,6,30,36,16,6,5,14,23,87
2000,Pacers,2,0,0,240,33,88,0.375,5,20,0.25,33,39,0.846,13,33,46,19,5,5,4,38,104
2000,Pacers,3,1,1,240,36,78,0.462,7,18,0.389,21,24,0.875,9,30,39,14,8,3,12,19,100
2000,Pacers,4,0,1,265,42,84,0.5,10,19,0.526,24,28,0.857,9,30,39,22,5,3,12,28,118
2000,Pacers,5,1,1,240,39,68,0.574,10,20,0.5,32,36,0.889,6,40,46,26,7,4,14,24,120
2000,Pacers,6,0,0,240,36,77,0.468,12,25,0.48,27,32,0.844,9,32,41,24,2,6,9,27,111
2001,Sixers,1,1,0,265,40,83,0.482,4,11,0.364,23,25,0.92,11,31,42,21,10,8,18,21,107
2001,Sixers,2,0,0,240,34,87,0.391,6,15,0.4,15,26,0.577,14,28,42,16,9,5,11,23,89
2001,Sixers,3,0,1,240,33,80,0.413,2,12,0.167,23,30,0.767,13,29,42,17,5,6,14,22,91
2001,Sixers,4,0,1,240,33,77,0.429,1,6,0.167,19,30,0.633,8,29,37,15,9,1,9,27,86
2001,Sixers,5,0,1,240,37,90,0.411,4,15,0.267,18,26,0.692,20,31,51,23,6,4,10,32,96
2002,Nets,1,0,0,240,37,94,0.394,5,16,0.313,15,26,0.577,21,24,45,19,9,4,11,29,94
2002,Nets,2,0,0,240,30,86,0.349,6,22,0.273,17,27,0.63,20,23,43,18,11,5,13,27,83
2002,Nets,3,0,1,240,43,83,0.518,3,12,0.25,14,19,0.737,5,22,27,22,13,5,13,27,103
2002,Nets,4,0,1,240,45,92,0.489,4,9,0.444,13,16,0.813,14,27,41,27,5,4,8,22,107
2003,Nets,1,0,0,240,33,89,0.371,4,13,0.308,19,25,0.76,13,32,45,19,5,5,8,26,89
2003,Nets,2,1,0,240,35,83,0.422,4,11,0.364,13,16,0.813,15,24,39,16,9,5,13,21,87
2003,Nets,3,0,1,240,30,81,0.37,4,13,0.308,15,17,0.882,14,27,41,17,13,5,18,26,79
2003,Nets,4,1,1,240,28,78,0.359,1,9,0.111,20,29,0.69,19,34,53,19,5,13,16,22,77
2003,Nets,5,0,1,240,26,74,0.351,4,16,0.25,27,34,0.794,17,25,42,15,7,5,16,25,83
2003,Nets,6,0,0,240,30,87,0.345,6,21,0.286,11,13,0.846,8,27,35,14,8,5,11,25,77
2004,Lakers,1,0,1,240,29,73,0.397,3,13,0.231,14,18,0.778,13,24,37,15,8,4,15,25,75
2004,Lakers,2,1,1,265,38,80,0.475,6,17,0.353,17,25,0.68,9,29,38,28,7,3,14,27,99
2004,Lakers,3,0,0,240,27,74,0.365,6,27,0.222,8,13,0.615,7,32,39,19,7,4,16,28,68
2004,Lakers,4,0,0,240,33,78,0.423,3,16,0.188,11,22,0.5,9,29,38,23,4,1,10,35,80
2004,Lakers,5,0,0,240,31,75,0.413,4,16,0.25,21,33,0.636,14,22,36,18,10,2,11,27,87
2005,Pistons,1,0,0,240,29,77,0.377,1,6,0.167,10,14,0.714,11,24,35,15,12,10,12,19,69
2005,Pistons,2,0,0,240,33,82,0.402,0,6,0,10,16,0.625,18,27,45,17,5,2,13,25,76
2005,Pistons,3,1,1,240,40,85,0.471,3,14,0.214,13,17,0.765,17,27,44,22,12,10,11,18,96
2005,Pistons,4,1,1,240,41,90,0.456,2,9,0.222,18,23,0.783,13,34,47,23,13,6,3,22,102
2005,Pistons,5,0,1,265,37,84,0.44,2,9,0.222,19,23,0.826,16,26,42,17,7,11,11,20,95
2005,Pistons,6,1,0,240,37,79,0.468,8,17,0.471,13,19,0.684,13,27,40,19,6,8,5,21,95
2005,Pistons,7,0,0,240,31,74,0.419,2,14,0.143,10,14,0.714,8,26,34,17,8,6,6,24,74
2006,Mavericks,1,1,1,240,32,72,0.444,6,18,0.333,20,26,0.769,7,36,43,18,9,3,14,18,90
2006,Mavericks,2,1,1,240,34,70,0.486,8,19,0.421,23,28,0.821,9,37,46,23,5,5,18,27,99
2006,Mavericks,3,0,0,240,36,75,0.48,6,16,0.375,18,26,0.692,7,27,34,15,9,2,15,29,96
2006,Mavericks,4,0,0,240,25,79,0.316,3,22,0.136,21,27,0.778,11,25,36,10,6,3,13,24,74
2006,Mavericks,5,0,0,265,37,81,0.457,5,19,0.263,21,25,0.84,11,31,42,13,3,0,14,38,100
2006,Mavericks,6,0,1,240,34,92,0.37,5,22,0.227,19,23,0.826,16,34,50,16,12,7,13,28,92
2007,Cavaliers,1,0,0,240,30,70,0.429,5,15,0.333,11,15,0.733,9,23,32,9,8,2,11,16,76
2007,Cavaliers,2,0,0,240,33,81,0.407,7,19,0.368,19,29,0.655,13,29,42,15,5,2,11,19,92
2007,Cavaliers,3,0,1,240,29,79,0.367,3,19,0.158,11,15,0.733,15,33,48,19,7,5,12,17,72
2007,Cavaliers,4,0,1,240,32,84,0.381,7,22,0.318,11,16,0.688,12,30,42,23,5,2,10,24,82
