Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000,Lakers,1,1,1,240,45,88,0.511,3,12,0.25,11,19,0.579,14,34,48,25,9,6,11,19,104
2000,Lakers,2,1,1,240,36,75,0.48,7,15,0.467,32,57,0.561,11,36,47,29,3,8,9,26,111
2000,Lakers,3,0,0,240,38,76,0.5,7,17,0.412,8,19,0.421,8,25,33,23,9,4,16,27,91
2000,Lakers,4,1,0,265,48,93,0.516,4,12,0.333,20,30,0.667,14,28,42,20,6,4,12,31,120
2000,Lakers,5,0,0,240,36,90,0.4,4,19,0.211,11,21,0.524,13,21,34,18,9,2,12,33,87
2000,Lakers,6,1,1,240,43,90,0.478,10,17,0.588,20,33,0.606,13,31,44,25,5,7,5,24,116
2001,Lakers,1,0,1,265,40,90,0.444,6,13,0.462,15,27,0.556,16,28,44,23,14,9,19,22,101
2001,Lakers,2,1,1,240,38,81,0.469,4,16,0.25,18,26,0.692,15,37,52,29,7,13,16,24,98
2001,Lakers,3,1,0,240,35,75,0.467,4,10,0.4,22,25,0.88,10,30,40,18,8,6,13,26,96
2001,Lakers,4,1,0,240,36,72,0.5,10,19,0.526,18,32,0.563,12,31,43,24,6,6,14,22,100
2001,Lakers,5,1,0,240,32,71,0.451,12,17,0.706,32,45,0.711,14,33,47,21,6,10,12,22,108
2002,Lakers,1,1,1,240,33,72,0.458,1,10,0.1,32,45,0.711,17,33,50,21,8,8,16,20,99
2002,Lakers,2,1,1,240,39,78,0.5,9,16,0.563,19,24,0.792,12,35,47,26,6,7,16,21,106
2002,Lakers,3,1,0,240,37,68,0.544,8,16,0.5,24,35,0.686,7,33,40,17,7,10,19,22,106
2002,Lakers,4,1,0,240,37,71,0.521,11,19,0.579,28,37,0.757,7,32,39,28,7,3,9,15,113
2003,Spurs,1,1,1,240,39,79,0.494,4,10,0.4,19,28,0.679,10,37,47,24,7,12,12,20,101
2003,Spurs,2,0,1,240,33,68,0.485,5,13,0.385,14,25,0.56,14,29,43,17,6,7,21,16,85
2003,Spurs,3,1,0,240,28,67,0.418,5,10,0.5,23,35,0.657,9,29,38,19,10,8,17,17,84
2003,Spurs,4,0,0,240,26,90,0.289,4,18,0.222,20,24,0.833,22,31,53,14,10,10,11,27,76
2003,Spurs,5,1,0,240,33,69,0.478,3,9,0.333,24,29,0.828,8,31,39,15,10,9,15,29,93
2003,Spurs,6,1,1,240,34,74,0.459,3,15,0.2,17,25,0.68,11,44,55,20,4,13,19,14,88
2004,Pistons,1,1,0,240,30,65,0.462,6,12,0.5,21,30,0.7,9,27,36,19,9,4,14,17,87
2004,Pistons,2,0,0,265,32,81,0.395,6,12,0.5,21,31,0.677,19,27,46,19,6,6,14,23,91
2004,Pistons,3,1,1,240,31,76,0.408,5,15,0.333,21,30,0.7,15,36,51,17,11,4,11,16,88
2004,Pistons,4,1,1,240,29,68,0.426,2,13,0.154,28,41,0.683,9,36,45,16,5,4,12,20,88
2004,Pistons,5,1,1,240,35,76,0.461,2,14,0.143,28,39,0.718,20,30,50,18,8,2,12,27,100
2005,Spurs,1,1,1,240,34,79,0.43,4,13,0.308,12,15,0.8,15,34,49,12,3,8,15,17,84
2005,Spurs,2,1,1,240,29,62,0.468,11,24,0.458,28,34,0.824,9,27,36,23,11,7,15,19,97
2005,Spurs,3,0,0,240,29,67,0.433,8,17,0.471,13,20,0.65,10,27,37,16,7,3,18,21,79
2005,Spurs,4,0,0,240,26,70,0.371,5,15,0.333,14,24,0.583,12,32,44,15,1,9,17,21,71
2005,Spurs,5,1,0,265,38,82,0.463,8,20,0.4,12,21,0.571,19,26,45,20,3,3,16,26,96
2005,Spurs,6,0,1,240,31,75,0.413,8,28,0.286,16,26,0.615,13,30,43,15,3,2,11,18,86
2005,Spurs,7,1,1,240,29,68,0.426,7,11,0.636,16,19,0.842,8,30,38,14,4,7,13,20,81
2006,Heat,1,0,0,240,34,78,0.436,5,20,0.25,7,19,0.368,12,33,45,20,10,1,15,25,80
2006,Heat,2,0,0,240,29,70,0.414,7,17,0.412,20,32,0.625,8,24,32,16,5,3,13,23,85
2006,Heat,3,1,1,240,37,76,0.487,4,14,0.286,20,34,0.588,16,33,49,13,9,2,20,23,98
2006,Heat,4,1,1,240,34,66,0.515,7,19,0.368,23,36,0.639,6,42,48,19,7,7,18,26,98
2006,Heat,5,1,1,265,31,69,0.449,7,17,0.412,32,49,0.653,7,26,33,14,7,0,11,26,101
2006,Heat,6,1,0,240,35,78,0.449,2,18,0.111,23,37,0.622,14,42,56,18,9,10,19,23,95
2007,Spurs,1,1,1,240,34,75,0.453,6,16,0.375,11,16,0.688,13,30,43,18,6,5,14,15,85
2007,Spurs,2,1,1,240,37,77,0.481,8,24,0.333,21,26,0.808,12,34,46,21,6,6,10,23,103
2007,Spurs,3,1,0,240,28,68,0.412,10,19,0.526,9,16,0.563,7,34,41,15,7,2,14,15,75
2007,Spurs,4,1,0,240,29,68,0.426,5,19,0.263,20,34,0.588,11,34,45,13,5,2,14,19,83
2008,Celtics,1,1,1,240,32,76,0.421,6,19,0.316,28,35,0.8,10,36,46,20,6,3,13,22,98
2008,Celtics,2,1,1,240,36,68,0.529,9,14,0.643,27,38,0.711,10,27,37,31,7,3,15,21,108
2008,Celtics,3,0,0,240,29,83,0.349,8,18,0.444,15,22,0.682,14,31,45,19,8,8,13,28,81
2008,Celtics,4,1,0,240,33,73,0.452,8,22,0.364,23,28,0.821,6,34,40,15,7,4,11,24,97
2008,Celtics,5,0,0,240,33,77,0.429,8,22,0.364,24,31,0.774,11,26,37,20,6,2,18,28,98
2008,Celtics,6,1,1,240,43,87,0.494,13,26,0.5,32,37,0.865,14,34,48,33,18,4,7,25,131
2009,Lakers,1,1,1,240,41,89,0.461,3,9,0.333,15,18,0.833,15,40,55,18,4,7,8,23,100
2009,Lakers,2,1,1,265,36,78,0.462,5,15,0.333,24,28,0.857,4,31,35,20,12,6,12,25,101
2009,Lakers,3,0,0,240,40,78,0.513,8,23,0.348,16,26,0.615,11,16,27,16,6,3,13,25,104
2009,Lakers,4,1,0,265,38,91,0.418,8,23,0.348,15,20,0.75,10,29,39,15,8,2,7,28,99
2009,Lakers,5,1,0,240,35,80,0.438,8,16,0.5,21,28,0.75,13,34,47,13,6,8,10,20,99
2010,Lakers,1,1,1,240,37,76,0.487,4,10,0.4,24,31,0.774,12,30,42,18,6,7,12,26,102
2010,Lakers,2,0,1,240,29,71,0.408,5,22,0.227,31,41,0.756,10,29,39,18,8,14,15,29,94
2010,Lakers,3,1,0,240,34,76,0.447,2,15,0.133,21,24,0.875,11,32,43,13,2,7,8,20,91
2010,Lakers,4,0,0,240,32,71,0.451,7,20,0.35,18,22,0.818,8,26,34,13,6,3,15,23,89
2010,Lakers,5,0,0,240,31,78,0.397,7,19,0.368,17,26,0.654,16,18,34,12,9,1,13,22,86
2010,Lakers,6,1,1,240,33,79,0.418,6,19,0.316,17,19,0.895,12,40,52,17,13,8,13,17,89
2010,Lakers,7,1,1,240,27,83,0.325,4,20,0.2,25,37,0.676,23,30,53,11,7,3,11,19,83
2011,Mavericks,1,0,0,240,25,67,0.373,9,22,0.409,25,32,0.781,6,30,36,18,6,8,11,22,84
2011,Mavericks,2,1,0,240,36,75,0.48,6,17,0.353,17,21,0.81,11,30,41,18,8,2,18,20,95
2011,Mavericks,3,0,1,240,28,70,0.4,8,21,0.381,22,27,0.815,12,30,42,18,3,8,14,14,86
2011,Mavericks,4,1,1,240,29,73,0.397,4,19,0.211,24,30,0.8,12,29,41,13,7,2,11,18,86
2011,Mavericks,5,1,1,240,39,69,0.565,13,19,0.684,21,27,0.778,4,22,26,23,8,3,11,20,112
2011,Mavericks,6,1,0,240,41,82,0.5,11,26,0.423,12,18,0.667,10,30,40,19,11,1,14,24,105
2012,Heat,1,0,0,240,36,78,0.462,8,19,0.421,14,18,0.778,7,28,35,20,6,1,10,19,94
2012,Heat,2,1,0,240,36,76,0.474,6,14,0.429,22,25,0.88,11,29,40,13,5,4,13,21,100
2012,Heat,3,1,1,240,28,74,0.378,4,13,0.308,31,35,0.886,14,31,45,13,6,5,12,19,91
2012,Heat,4,1,1,240,38,79,0.481,10,26,0.385,18,25,0.72,9,31,40,19,8,2,9,18,104
2012,Heat,5,1,1,240,40,77,0.519,14,26,0.538,27,33,0.818,8,33,41,25,8,7,13,21,121
2012,Heat,1,0,1,240,34,78,0.436,8,25,0.32,12,17,0.706,9,37,46,20,4,2,8,12,88
2013,Heat,2,1,1,240,41,83,0.494,10,19,0.526,11,14,0.786,9,27,36,22,9,6,6,17,103
2013,Heat,3,0,0,240,31,76,0.408,8,18,0.444,7,10,0.7,9,27,36,21,9,8,16,21,77
2013,Heat,4,1,0,240,45,85,0.529,4,12,0.333,15,17,0.882,7,34,41,23,13,7,9,26,109
2013,Heat,5,0,0,240,37,86,0.43,11,23,0.478,19,23,0.826,12,22,34,25,8,3,13,24,104
2013,Heat,6,1,1,265,38,81,0.469,11,19,0.579,16,21,0.762,12,30,42,23,10,6,15,26,103
2013,Heat,7,1,1,240,36,82,0.439,12,32,0.375,11,16,0.688,11,32,43,14,8,4,16,19,95
2014,Spurs,1,1,1,240,40,68,0.588,13,25,0.52,17,22,0.773,5,34,39,30,8,4,22,14,110
2014,Spurs,2,0,1,240,36,82,0.439,12,26,0.462,12,20,0.6,11,26,37,26,7,1,11,20,96
2014,Spurs,3,1,0,240,38,64,0.594,9,20,0.45,26,32,0.813,5,24,29,21,12,4,12,25,111
2014,Spurs,4,1,0,240,40,70,0.571,9,21,0.429,18,25,0.72,12,32,44,25,8,4,14,19,107
2014,Spurs,5,1,1,240,37,78,0.474,12,26,0.462,18,23,0.783,6,34,40,25,5,4,8,21,104
2015,Warriors,1,1,1,265,39,88,0.443,10,27,0.37,20,22,0.909,11,37,48,24,8,5,12,16,108
2015,Warriors,2,0,1,265,33,83,0.398,8,35,0.229,19,25,0.76,10,35,45,16,11,7,18,31,93
2015,Warriors,3,0,0,240,36,90,0.4,12,34,0.353,7,12,0.583,18,28,46,21,6,7,14,25,91
2015,Warriors,4,1,0,240,36,77,0.468,12,30,0.4,19,27,0.704,6,38,44,24,5,5,7,21,103
2015,Warriors,5,1,1,240,36,75,0.48,12,26,0.462,20,34,0.588,11,32,43,25,7,2,16,25,104
2015,Warriors,6,1,0,240,37,85,0.435,13,34,0.382,18,29,0.621,7,32,39,28,11,4,9,27,105
2016,Cavaliers,1,0,0,240,32,84,0.381,7,21,0.333,18,20,0.9,15,32,47,17,7,4,15,17,89
2016,Cavaliers,2,0,0,240,28,79,0.354,5,23,0.217,16,24,0.667,9,25,34,15,15,3,17,19,77
2016,Cavaliers,3,1,1,240,48,91,0.527,12,25,0.48,12,17,0.706,17,35,52,23,8,3,13,25,120
2016,Cavaliers,4,0,1,240,38,81,0.469,6,25,0.24,15,26,0.577,16,24,40,15,5,6,11,24,97
2016,Cavaliers,5,1,0,240,44,83,0.53,10,24,0.417,14,23,0.609,8,33,41,15,11,9,16,22,112
2016,Cavaliers,6,1,1,240,40,77,0.519,10,27,0.37,25,32,0.781,8,37,45,24,12,7,10,25,115
2016,Cavaliers,7,1,0,240,33,82,0.402,6,25,0.24,21,25,0.84,9,39,48,17,7,6,11,15,93
2017,Warriors,1,1,1,240,45,106,0.425,12,33,0.364,11,16,0.688,14,36,50,31,12,3,4,24,113
2017,Warriors,2,1,1,240,46,89,0.517,18,43,0.419,22,24,0.917,10,43,53,34,5,7,20,19,132
2017,Warriors,3,1,0,240,40,83,0.482,16,33,0.485,22,24,0.917,8,36,44,29,8,4,18,28,118
2017,Warriors,4,0,0,240,39,87,0.448,11,39,0.282,27,36,0.75,16,24,40,26,5,6,12,27,116
2017,Warriors,5,1,1,240,46,90,0.511,14,38,0.368,23,28,0.821,13,29,42,27,8,2,13,24,129
2018,Warriors,1,1,1,265,46,90,0.511,13,36,0.361,19,20,0.95,4,34,38,31,10,6,7,18,124
2018,Warriors,2,1,1,240,47,82,0.573,15,36,0.417,13,21,0.619,7,34,41,28,3,8,12,25,122
2018,Warriors,3,1,0,240,42,81,0.519,9,26,0.346,17,19,0.895,6,31,37,27,6,5,10,20,110
2018,Warriors,4,1,0,240,39,86,0.453,14,38,0.368,16,16,1,10,34,44,25,7,13,8,24,108
